,name,twitter,party,tweet,tweet_published
121,Patty Murray,PattyMurray,Democrat,"I pressed Dr. Fauci &amp; @SteveFDA on how to make sure vaccine clinical trials account for racial and ethnic disparities, and what steps the FDA is taking in preparation of producing a sufficient number of vaccines.",2020-05-13
122,Pete Olson,RepPeteOlson,Republican,I asked Dr Fauci how we can address the tremendous spike in the 20-39 age group. I included a quote from “Houston’s Doctor Fauci” - Dr Peter Hotez at Baylor College of Medicine. https://www.c-span.org/video/?c4888568/user-clip-damn-scary-houston-spike @bcmhouston @PeterHotez,2020-06-25
123,Pete Olson,RepPeteOlson,Republican,Here’s the #CSPAN clip of me asking Dr Fauci about the recent spike of #COVID19 cases in the #GreaterHouston Region &amp; the role the 20-39 age group is playing. ⁦@PeterHotez⁩ ⁦@bcmhouston⁩ ⁦@memorialhermann⁩ ⁦@MethodistHosp⁩ https://www.c-span.org/video/?c4888568/user-clip-damn-scary-houston-spike,2020-06-24
124,Pete Olson,RepPeteOlson,Republican,I asked Dr Fauci how we can address the tremendous spike in the 20-39 age group. I included a quote from “Houston’s Doctor Fauci” - Dr Peter Hotez at Baylor College of Medicine. http://c-span.org/video/?c488856… @bcmhouston @PeterHotez,2020-06-25
125,"Frank Pallone, Jr.",FrankPallone,Democrat,The President is willfully ignorant of the dangers the coronavirus poses to young people. He criticizes Dr. Fauci’s caution with regards to the virus’ impact on kids and suggests we reopen schools too quickly. ,2020-05-14
126,"Frank Pallone, Jr.",FrankPallone,Democrat,Firing Dr. Fauci would be a grave mistake &amp; would severely inhibit our response to the pandemic. The President even toying with this idea to his millions of twitter followers is beyond the pale. Now is not the time to sideline our nation’s top scientist. ,2020-04-13
127,"Frank Pallone, Jr.",FrankPallone,Democrat,Attacks on Dr. Fauci are uncalled for. We need to rely on science and medical experts during this pandemic. We can’t let partisanship or ideology get in the way. ,2020-03-29
128,"Frank Pallone, Jr.",FrankPallone,Democrat,"I spoke with Dr. Fauci, who always tells it like it is, today at an @EnergyCommerce hearing on the Trump Administration's response to the #coronavirus pandemic.",2020-06-23
129,"Bill Pascrell, Jr.",BillPascrell,Democrat,Our sacrifices are working. Listen to Dr. Fauci ,2020-04-08
130,"Bill Pascrell, Jr.",BillPascrell,Democrat,I’ve worked with some great men and women in my life and my friend Dr. Fauci is at the tippy top. The clip below warms me and I’m so happy our nation *still* has his expertise to lead us. We should be listening to Dr Fauci (photo pre social distancing) https://twitter.com/HowardMortman/status/1241494707919892486,2020-03-24
131,"Bill Pascrell, Jr.",BillPascrell,Democrat,My friend Dr. Fauci is speaking openly about the grave danger to covid patients of this unproven treatment recklessly pimped by trump. ,2020-05-27
132,"Bill Pascrell, Jr.",BillPascrell,Democrat,"This is an important moment. Dr. Fauci is one of the top medical minds in the world. He and other scientific professionals should be calling the shots in addressing this crisis. Coronavirus must be combated with facts, not trump’s fables. ",2020-03-02
133,"Bill Pascrell, Jr.",BillPascrell,Democrat,"Every republican in Congress should be asked if their own families are following what doctors and scientists like Dr. Fauci are advising to fight the virus, or this staggering idiocy. ",2020-03-24
134,"Bill Pascrell, Jr.",BillPascrell,Democrat,"Trying to censor our public health experts is idiocy. Dr. Fauci and other medical+scientific pros should be calling the shots in this crisis, not Trump or his loyalists. The White House’s bungling response is itself a public health crisis. ",2020-02-27
135,Rand Paul,RandPaul,Republican,Today in the HELP hearing on COVID-19 with Dr. Fauci I forced him to admit that we MUST get kids back to school. ,2020-06-30
136,Rand Paul,RandPaul,Republican,Evidence-based scientists around the world argue to open schools. Please re-examine all the evidence Dr. Fauci! The Case for Reopening Schools | WIRED ,2020-05-14
137,Rand Paul,RandPaul,Republican,"Looking forward to joining @seanhannity on his radio program at 5pm ET! Tune in as we discuss FISA Reform, what Obama’s White House knew and Dr Fauci’s testimony. ",2020-05-12
138,Rand Paul,RandPaul,Republican,"To those who want to continue this lockdown, even Dr. Fauci agrees if you’ve recovered you will have immunity!",2020-05-06
139,Rand Paul,RandPaul,Republican,Paging Dr. Fauci: scientific evidence shows mortality rate for coronavirus approximates the annual flu for people under 60 #freeourpeople #openeconomynow Horowitz: One chart exposes the lie behind universal lockdowns - Conservative Review,2020-05-17
140,Rand Paul,RandPaul,Republican,"Dr. Fauci: “We know with infections like this, that at least for a reasonable period, you're gonna have antibodies that are protective...if we get infected in February/March and recover, next September, October, that person who's infected — I believe — is going to be protected.""",2020-05-05
141,Rand Paul,RandPaul,Republican,Fauci said he's 'willing to bet anything' that people who recover from the new coronavirus are 'really protected from reinfection' ,2020-05-06
142,Rand Paul,RandPaul,Republican,Thank you ⁦@IngrahamAngle⁩ for fighting to reopen America safely! Washington Examiner: Laura Ingraham praises Rand Paul questioning Fauci ,2020-05-13
143,Rand Paul,RandPaul,Republican,I’ll be joining @marthamaccallum on @FoxNews at 7pm ET to discuss FISA reform and today’s testimony with Dr. Fauci. Tune in!,2020-05-12
144,Ed Perlmutter,RepPerlmutter,Democrat,This morning I had the opportunity to speak with Dr. Anthony Fauci on a call hosted by the @NewDemCoalition. He shared his insights &amp; perspectives on the coronavirus pandemic &amp; important considerations as we look ahead. I'm grateful for his expertise &amp; guidance during this time.,2020-05-20
145,Gary C. Peters,SenGaryPeters,Democrat,"Today, I had a productive call with Dr. Anthony Fauci, Director of the @NIAIDNews, to discuss how the Admin is developing a vaccine and preventing the spread of Coronavirus. As Ranking Member of @HSGAC, I'm working to ensure Michiganders have up-to-date information.",2020-03-04
146,Rob Portman,SenRobPortman,Republican,I attended a #coronavirus briefing this morning w/ admin officials including the CDC’s Dr. Fauci &amp; a host of medical experts. We must work together to mitigate the spread of the virus. I’m working with my colleagues on solutions and will keep you posted as things develop.,2020-03-12
147,Mike Quigley,RepMikeQuigley,Democrat,"I was pleased to join my @NewDemCoalition colleagues in a call with Dr. Anthony Fauci, Director of the @NIAIDNews, earlier today. Dr. Fauci shared his insights &amp; perspectives on the coronavirus pandemic and highlighted the most important considerations as we look to reopen.",2020-05-20
148,Lucille Roybal-Allard,RepRoybalAllard,Democrat,"As Labor-HHS Appropriations Vice Chair, I strongly oppose the White House’s decision to block Dr. Fauci from testifying before our subcommittee. His expert insights would surely help inform our subcommittee’s work to fight this pandemic and protect public health. ",2020-05-02
149,Bobby L. Rush,RepBobbyRush,Democrat,"During today's @EnergyCommerce Hearing on the Trump Administration's COVID-19 response, I asked Dr. Anthony Fauci whether racism itself was a contributing factor in the disproportionate suffering &amp; death currently being experienced by the black community. His answer: Yes. ",2020-06-23
150,Bobby L. Rush,RepBobbyRush,Democrat,"Dr. Fauci also noted that institutional racism presents a ""double whammy"" for the Black community when it comes to COVID-19. Black Americans are more likely to be essential workers, increasing their risk of exposure, and more likely to have pre-existing conditions. ",2020-06-23
151,Tim Ryan,RepTimRyan,Democrat,"First @RealDonaldTrump played favorites over which governors got supplies. Now he’s blocking the House from hearing from Dr. Fauci bc @HouseDemocrats are in the majority. No more political games, Mr. President. The American people need leadership &amp; action.",2020-05-05
152,Tim Ryan,RepTimRyan,Democrat,"When Dr. Fauci's in quarantine, you know the health crisis isn’t over. Eighty thousand American lives have been lost. Let’s keep taking precautions: wear your mask, wash your hands, keep your distance. ",2020-05-13
153,John P. Sarbanes,RepSarbanes,Democrat,"At an @EnergyCommerce hearing yesterday with top public health officials, including Dr. Fauci, I asked about the Trump Administration’s efforts to quickly and safely develop a #COVID19 vaccine and make it widely available to the American people.",2020-06-24
154,Janice D. Schakowsky,JanSchakowsky,Democrat,"...@realDonaldTrump @VP, Where is Dr. Fauci? ",2020-03-23
155,Adam B. Schiff,RepAdamSchiff,Democrat,"The virus didn’t magically go away as Trump promised, so he: Blames Democrats, governors, and the press. Blames his own Intelligence Community and even Dr. Fauci. And he tells us he will accept no responsibility as tens of thousands die. Trump is the President of victimhood. ",2020-05-05
156,Charles E. Schumer,SenSchumer,Democrat,"President Trump was too quick to sideline the Coronavirus Task Force, too eager to pretend that everything was back to normal. The country needs Dr. Fauci on billboards, but President Trump wants to put him on a milk carton.",2020-06-11
157,Charles E. Schumer,SenSchumer,Democrat,"To the Trump administration: Dr. Fauci, Dr. Birx, and other members of the administration’s Coronavirus Task Force must hold a briefing for Democratic Senators on the recent spikes. We need to understand why these spikes are happening and how to adapt our national response.",2020-06-11
158,Charles E. Schumer,SenSchumer,Democrat,"The parade of truth-tellers begins: Tuesday: Dr. Fauci Wednesday: Chairman Powell Thursday: Dr. Bright In this big, grand, diverse, beautiful country, you cannot suppress the truth forever And as it emerges, it shows how poorly President Trump's led the country in this crisis",2020-05-14
159,Charles E. Schumer,SenSchumer,Democrat,"Tomorrow in the Senate HELP Committee, Democrats have fought for a hearing with Dr. Fauci. It will be one of the first opportunities for Dr. Fauci to tell Americans the truth without President Trump lurking over his shoulder in a White House press conference.",2020-05-11
160,Charles E. Schumer,SenSchumer,Democrat,Dems fought for the hearing with Dr. Fauci—an opportunity to hear from him without Pres. Trump lurking Dr. Fauci warned of “suffering and death that could be avoided” if we don’t follow the science &amp; rush to reopen Pres. Trump: You need an adequate national testing strategy NOW,2020-05-12
161,Charles E. Schumer,SenSchumer,Democrat,"The Senate needs to hear from Dr. Fauci, Dr. Birx, Sec. Mnuchin. We need to know why so many small businesses have had trouble getting loans. We need to know why unemployment insurance checks are failing to get to workers. We need to know why we still don’t have enough tests!",2020-05-05
162,Charles E. Schumer,SenSchumer,Democrat,"This headline sums it up And the trends are extremely concerning I’ve asked for Dr. Fauci, Dr. Birx, members of the Coronavirus Task Force to brief @SenateDems on recent spikes But the Trump White House continues to muzzle the most knowledgeable people",2020-06-16
163,Charles E. Schumer,SenSchumer,Democrat,"Less than an hour after Dr. Fauci warned about problems with coronavirus testing, President Trump said “the testing has been going very smooth.” This is President Trump’s #DailyLie. It just isn’t true. The Trump administration needs to get a handle on testing Now.",2020-03-12
164,Charles E. Schumer,SenSchumer,Democrat,"President Trump's last day: RT’d a call for Dr. Fauci's firing Claimed he alone can ‘open up the states' Tweeted personal grievances as hospitals, small biz, state &amp; local governments cry out for help Cut a deal with Russia &amp; Saudi Arabia to raise gas prices Quite a day's work.",2020-04-13
165,Charles E. Schumer,SenSchumer,Democrat,"Senate Republicans are following @SenateDems' calls and considering scheduling some oversight hearings with Dr. Birx, Dr. Fauci, Secretary Mnuchin, and Federal Reserve Chair Powell. But it’s shameful these hearings won’t happen until mid-May at the earliest.",2020-05-01
166,Tim Scott,SenatorTimScott,Republican,"Head over to my Instagram (SenatorTimScott) right now, we’re live with Dr. Fauci!",2020-05-28
167,Tim Scott,SenatorTimScott,Republican,I’ve had several conversations with Dr. Fauci during the #COVID19 #coronavirus pandemic. Today I asked him about protecting our most vulnerable populations at the @GOPHELP Committee’s hearing on safely getting back to school and work.,2020-05-12
168,Tim Scott,SenatorTimScott,Republican,"In around 25 minutes, I’ll be questioning Dr. Fauci, Admiral Giroir, Dr. Hahn and Dr. Redfield in today’s HELP Committee hearing - you can watch here: ",2020-05-12
169,Tim Scott,SenatorTimScott,Republican,"New time! Please join me for a special Instagram Live with NIAID Director and White House Coronavirus Task Force member, Dr. Anthony Fauci. Head to my Instagram page tomorrow at 10:30 a.m. to watch! ",2020-05-28
170,Tim Scott,SenatorTimScott,Republican,I had a great discussion with Dr. Fauci at today’s @GOPHELP Committee hearing about steps we can take to encourage folks to get a COVID-19 vaccine when a safe and effective one is available.,2020-06-30
171,Terri A. Sewell,RepTerriSewell,Democrat,"COVID-19 has shone a light on some of the most devastating inequalities in our nation — health disparities, especially. Every American deserves access to quality health care. Thank you for speaking up, Dr. Fauci. We must do better. ",2020-04-08
172,Albio Sires,RepSires,Democrat,Crafting a comprehensive and effective coronavirus response requires the latest and factual information. Speaking directly with experts like Dr. Fauci &amp; Task Force members enables Congress to ensure our appropriated funding goes towards efforts that will have the greatest impact. ,2020-05-05
173,Jackie Speier,RepSpeier,Democrat,"Once again @POTUS shows his true orange colors when he can’t refer to the Gov of Michigan by name - the “young woman governor.” He referred to Dr Fauci and to “Deborah,” the other physician on the dais. He hasn’t spoken to the Speaker since Oct. His misogyny is always on display!",2020-03-28
174,Jackie Speier,RepSpeier,Democrat,.@POTUS - listen to Dr. Fauci &amp; med experts. The virus &amp; potentially millions of deaths must dictate our social distancing/stay at home efforts. Not a desire to improve polls. The way we emerge stronger is by following proven science &amp; working together! https://www.nytimes.com/interactive/2020/03/25/opinion/coronavirus-trump-reopen-america.html,2020-03-26
175,Jackie Speier,RepSpeier,Democrat,"Reckless! @POTUS hasn't been briefed by Dr. Fauci in at least TWO MONTHS and hasn't seen him in person since June 2! New cases hit a record 60,000 a day and the President isn't conferring with his chief infectious disease expert, who's been doing the job for over 35 years!",2020-07-10
176,Mike Thompson,RepThompson,Democrat,"We all still need to listen to public health leaders and continue social distancing and staying at home. Take it from Dr. Fauci, who is testifying before a Senate panel today and is warning about the dangers of opening too quickly. ",2020-05-12
177,John Thune,SenJohnThune,Republican,"Coronavirus is at the top of nearly every American’s mind – including here in Congress. This week, @SenateGOP met with @POTUS, @VP, Dr. Fauci &amp; other admin officials for a #COVID19 update. While we address the outbreak, there's still other work to be done. #WeekinWashingtonWrapUp",2020-03-13
178,John Thune,SenJohnThune,Republican,"Just had a #COVID19Pandemic update call with Dr. Fauci, @StevenMnuchin1, and others in the admin. They’re confident that Americans staying at home &amp; #SocialDistancing are having a positive effect. Even if it’s inconvenient, your actions will make a difference as we combat #COVID.",2020-04-02
179,Paul Tonko,RepPaulTonko,Democrat,"Dr. Fauci’s answer at today’s @EnergyCommerce hearing when I asked about Pres. Trump refusing to wear a face mask: “Certainly I wear a mask in public all the time, not only because I want to protect others &amp; to protect myself but also to set an example.” https://www.washingtonpost.com/politics/2020/06/23/fauci-testimony-coronavirus-house/#link-KSZ5BG34VVHLTCRAHJ74W5QLP4",2020-06-23
180,Fred Upton,RepFredUpton,Republican,Important @HouseCommerce hearing this afternoon where I was able to ask Dr. Fauci &amp; @CDCDirector about the development of a COVID-19 vaccine - we need one to end the crisis. We must continue to work together! #MI06,2020-06-23
181,Fred Upton,RepFredUpton,Republican,"Today, I spent most of my day at an E&C hearing w/ Dr. Tony Fauci &amp; other officials to discuss a COVID vaccine. Also joined @1450whtc to discuss police reform, COVID relief packages, &amp; efforts to help our nursing homes during this crisis. Heading to DC tomorrow for votes. #MI06",2020-06-23
182,Fred Upton,RepFredUpton,Republican,"Spoke on a conference call w/ @VP, @stevenmnuchin1, @SeemaCMS, Dr. Fauci + more about small biz PPP &amp; PPE for health care workers. Speaking tomorrow w/ the @US_FDA about @RepSlotkin &amp; @michiganstateu's proposal to cleanse PPE for health care workers - very promising! #MI06",2020-04-09
183,Chris Van Hollen,ChrisVanHollen,Democrat,"Now Trump wants to impose a gag order to stop Fauci from testifying to Congress. His excuse? That it would be “counterproductive."" Translation: he doesn't want the public to hear the full truth, like “don’t inject disinfectants” or “we need more rapid testing."" Free Fauci! ",2020-05-01
184,Chris Van Hollen,ChrisVanHollen,Democrat,"BEWARE: Following advice from Donald Trump is dangerous to your health. This is the same quack who suggested injecting disinfectants. If you care about your health, listen to Dr. Fauci and the pubic health experts who care about evidence and facts. ",2020-05-18
185,Chris Van Hollen,ChrisVanHollen,Democrat,"How does a stable genius deal with a global pandemic? First threaten to fire Dr. Fauci, the nation's top public health expert. And then cut off funds for the World Health Organization. Why didn’t someone else think of that?",2020-04-14
186,Tim Walberg,RepWalberg,Republican,"At our @HouseCommerce hearing yesterday, I asked @CDCDirector Redfield about Michigan’s misguided nursing home policy and Dr. Fauci about steps colleges should be taking to safely reopen in the fall. Watch ",2020-06-24
187,Greg Walden,RepGregWalden,Republican,"If you are wondering how to properly practice #socialdistancing and why we are doing it, I encourage you to watch this helpful video. Dr. Fauci, Dr. Birx, and @Surgeon_General Adams do a great job explaining it.",2020-03-21
188,Greg Walden,RepGregWalden,Republican,#TBT to handshakes and pre-social distancing w/ Dr. Fauci! ,2020-06-11
189,Greg Walden,RepGregWalden,Republican,"HAPPENING NOW I am at the @HouseCommerce hearing where White House Coronavirus Task Force Members Dr. Fauci, @CDCDirector Redfield, @SteveFDA, &amp; ADM Brett Giroir are testifying on the Administration's response to COVID-19. Watch it here : https://www.youtube.com/watch?v=jU8NKSC6eRs",2020-06-23
190,Debbie Wasserman Schultz,RepDWStweets,Democrat,"Dr. Fauci is right: @GovRonDeSantis reopened FLA too soon. Now we’re paying the price. We need to roll back his failed opening, ramp up testing &amp; contact tracing and start using data-driven, scientific metrics - not the governor’s bad political instincts.",2020-07-10
191,Debbie Wasserman Schultz,RepDWStweets,Democrat,Just last week I heard troubling testimony from NIAID Dir. Dr. Fauci that the US is “failing” to adequately test for #Coronavirus. This is taking too long. HT to @AlexWagner &amp; @SHO_TheCircus for documenting it.,2020-03-16
192,Debbie Wasserman Schultz,RepDWStweets,Democrat,"I asked Dr. Fauci @OversightDems about #Coronavirus testing. He said our #COVID19 system is ‘failing.’ This is unacceptable. It’s past time for free testing for everyone who needs it, including the uninsured.",2020-03-12
193,Maxine Waters,RepMaxineWaters,Democrat,The way Dr. Fauci bowed his head in shame &amp; disgust listening to Trump spout his Fox News talking points is how all of us feel. People in this country are suffering enough. Why would media subject the American public to Trump’s daily LIES? Fauci should lead all pressers. Period!,2020-03-22
194,Maxine Waters,RepMaxineWaters,Democrat,"Do not listen to 45 when he suggests untested #Hydroxychloroquine to treat #COVID19 - listen to Fauci. Don’t listen to 45 when he says heat will kill the virus; or he won’t wear a mask; or when he calls hospital workers thieves, or refuses natl lockdown! 45 just can’t be trusted!",2020-04-06
195,Joe Wilson,RepJoeWilson,Republican,I am so grateful to @VP for his leadership in the fight against the Coronavirus and for focusing on keeping American families healthy and safe. Today’s talk with @VP and Dr. Fauci was very informative as we look to pass the funding needed to address #COVID19.,2020-03-04
196,Frederica S. Wilson,RepWilson,Democrat,We owe #Fauci an enormous debt of gratitude for having the courage to be honest. Following the facts and the science will save lives. ,2020-05-13
197,Frederica S. Wilson,RepWilson,Democrat,Where is Dr. Fauci at tonight’s White House briefing? I hope this vital truth teller hasn’t been benched because of his honest assessments of this #COVID-19 pandemic.,2020-03-23
198,Ron Wyden,RonWyden,Democrat,I have known Anthony Fauci for years and would trust my family’s health with him any day of the week. The American people need to know the facts. Donald Trump must not sideline this vital voice.,2020-04-13
199,Don Young,RepDonYoung,Republican,"This week, Dr. Anthony Fauci announced that patients who received #Remdesivir had a 31% faster recovery compared to those taking a placebo. I'm encouraged by media reports that @US_FDA will approve the use of Remdesivir to treat #COVID19 following encouraging scientific trials.",2020-05-01
200,Todd Young,SenToddYoung,Republican,"President Trump has just signed the #CARESact into law &amp; help is on the way to Hoosiers. I applaud @POTUS, @VP, Dr. Fauci, Dr. Birx, and all of our nation’s leaders who brought us together to provide critical relief in this time of need.",2020-03-27
201,Suzan K. DelBene,RepDelBene,Democrat,Thank you @NewDemCoalition for hosting a call with @NIAIDNews Director Dr. Anthony Fauci to hear his insights &amp; perspectives on the #COVID19 crisis &amp; important considerations to take into account when reopening.,2020-05-20
202,Thomas Massie,RepThomasMassie,Republican,"""Rep. Thomas Massie talks about the beef industry and what's to come unless policy changes soon. Massie also talks about the changes to the models used by Dr. Fauci."" Thanks for having me on this morning, @TomRoten.",2020-04-11
203,Bill Foster,RepBillFoster,Democrat,"I'm glad Dr. Fauci understands just how important these serological tests are, and that it seems we are getting closer to them being made available to the public. https://time.com/5819068/fauci-coronavirus-antibody-test-us/",2020-04-10
204,Bill Foster,RepBillFoster,Democrat,"Earlier today, I was pleased to join my @NewDemCoalition colleagues in a call with Dr. Anthony Fauci, Director of the @NIAIDNews, who shared his insights &amp; perspectives on the coronavirus pandemic &amp; important considerations as we look to reopen.",2020-05-20
205,Tom Cotton,SenTomCotton,Republican,"As Dr. Anthony Fauci said yesterday, “we’ll be thankful that we overreacted” if we arrest the spread of the virus, preserve hospital capacity, and save lives.",2020-03-16
206,Kyrsten Sinema,SenatorSinema,Democrat,Americans should be prepared that they are going to have to hunker down significantly more than we as a country are doing - Dr. Fauci Let’s do our part to keep each other safe. The #of cases in US is doubling every 2 days. #stayhome #flattenthecurve,2020-03-16
207,Kyrsten Sinema,SenatorSinema,Democrat,"Today on @NPR's @1a, Dr. Fauci was asked what he thinks about Arizona's recent spike in coronavirus cases. Listen to his answer ",2020-06-16
208,Kyrsten Sinema,SenatorSinema,Democrat,Listen to Dr. Fauci’s guidance and see the White House guidelines about how to re-open safely and make our economy strong again. They include continuing to social distance and staying at home as much as possible. ,2020-05-15
209,Jared Huffman,RepHuffman,Democrat,"It shouldn’t be this rare, but let’s appreciate executive branch officials w/ nonpartisan expertise & dedication to country like Dr. Fauci, who is trying to save lives. We cannot rush to reopen the country without adequate testing, tracing, &amp; containment. ",2020-05-14
210,Eric Swalwell,RepSwalwell,Democrat,his will. That’s better than firing him. Which would lead to a massive public outcry. The antidote to this? Dr. Fauci has to keep telling the truth. Stick to the science. And not cower or become a sycophant.,2020-04-13
211,Eric Swalwell,RepSwalwell,Democrat,Let’s start from the beginning. Did Dr. Fauci take the SATs himself? ,2020-07-12
212,Eric Swalwell,RepSwalwell,Democrat,Any governor who hasn’t ordered a lockdown yet thinks he/she is smarter than Dr. Fauci. They’re not. Lives depend on acting now. @GovernorKayIvey @GovParsonMO @GovStitt @henrymcmaster @GovHerbert @GovernorGordon @AsaHutchinson @IAGovernor @GovRicketts @DougBurgum @Govkristinoem,2020-04-03
213,Eric Swalwell,RepSwalwell,Democrat,"firing out there, he could get in Mueller’s head. So Mueller stayed but he never went for Trump’s finances and never pressed for an interview (Trump whined about that, too). He’s doing the same with Fauci. Trump wants Fauci to stop telling the truth and bend to (Thread 2 of 3)",2020-04-13
214,Eric Swalwell,RepSwalwell,Democrat,"Trump won’t fire Fauci. But it will be worse than that. He’ll Mueller him. Remember how @realDonaldTrump whined for over a year about red lines (finances), and length of the investigation, and threatened to fire Mueller? And never did? He knew that by dangling the (thread 1 of 3)",2020-04-13
215,Mark Takano,RepMarkTakano,Democrat,We cannot risk setting back the progress we have made -- it could lead to suffering and death that could be avoided. We HAVE to listen to the experts. Watch Dr. Fauci deliver a sobering warning: ,2020-05-12
216,Alan S. Lowenthal,RepLowenthal,Democrat,"Dr. Fauci is entirely correct. The whole country needs to stay home as we confront this crisis together. I joined my congressional colleagues to call for a national shutdown last week, and we’re still waiting for leadership from the federal government. ",2020-04-04
217,Alan S. Lowenthal,RepLowenthal,Democrat,Dr. Fauci’s leadership and experience are saving lives. Our nation owes him a debt of gartitude. He and his fellow experts should be empowered to the greatest extent: science and facts must guide our response.,2020-04-14
218,Alan S. Lowenthal,RepLowenthal,Democrat,"We need to listen to Dr. Fauci and the medical experts: there’s much more to be done before we can re-open the economy safely. Proud to see governors across the country coming together to make careful, science-backed decisions. ",2020-04-16
219,Alan S. Lowenthal,RepLowenthal,Democrat,"I thank Dr. Fauci for his testimony yesterday. Here are the facts: to return to normal, much more has to be done. The administration must do better. Massive testing capacity, and suppressing case load is the only way to return to normal safely.",2020-05-13
220,Scott H. Peters,RepScottPeters,Democrat,I joined my @EnergyCommerce colleagues to hear from Dr. Fauci and members of the White House Coronavirus Task Force about the admin.'s response to the #COVID19 crisis. A takeaway: they all directly contradicted the president's call to slow testing.,2020-06-24
221,Scott H. Peters,RepScottPeters,Democrat,"I joined my @NewDemCoalition colleagues in a call with Dr. Fauci, Director of the @NIAIDNews, who emphasized how critical slow, methodical phasing will be as we re-open the country. If we do it wrong, we risk throwing us back to another full shut down.",2020-05-21
222,Ted S. Yoho,RepTedYoho,Republican,Dr. Fauci has it right. If you feel sick get on the phone with your physician. #COVID19 #SlowtheSpread,2020-03-19
223,Tammy Duckworth,SenDuckworth,Democrat,"#ICYMI: I spoke to @NicolleDWallace of @MSNBC about how shameful it is that when it comes to safeguarding our children from illnesses potentially linked to #COVID19, Trump is more worried about himself and how he looks rather than listening to scientists like Dr. Fauci. ",2020-05-15
224,Cheri Bustos,RepCheri,Democrat,"Today, Dr. Anthony Fauci is testifying before the Senate on #Covid_19 efforts. Last week, Trump blocked Dr. Fauci from testifying before House @AppropsDems. Here’s what I had to say.",2020-05-12
225,Cheri Bustos,RepCheri,Democrat,"The administration barred Dr. Fauci from testifying, but @AppropsDems are committed to finding the best path forward for our #COVID19 response and where aid is needed the most.",2020-05-06
226,Cheri Bustos,RepCheri,Democrat,The Trump Administration barred Dr. Anthony Fauci from participating in today’s bipartisan @AppropsDems hearing on #COVID19. Dr. Fauci: Your reasoned voice has been a true asset to our country. I wish we’d heard it today. ,2020-05-07
227,Susan W. Brooks,SusanWBrooks,Republican,"Today at a @HouseCommerce hearing, I asked top public health officials about increasing public health funding at federal, state &amp; local levels &amp; safety of vaccines hopefully coming in the next few months. Thanks Dr. Fauci, @SteveFDA, @CDCDirector &amp; @HHS_ASH for your leadership!",2020-06-23
228,Elizabeth Warren,SenWarren,Democrat,"There were 21,000 new COVID-19 cases the day Dr. Fauci told me we were going in “the right direction.” There were 40,000+ new cases yesterday. And Dr. Fauci told me today there could be 100,000 new cases/day if we don’t reverse course. Trump &amp; other leaders need to face reality. ",2020-06-30
229,Elizabeth Warren,SenWarren,Democrat,Coronavirus keeps spreading across the country. Hundreds of Americans are still dying every day. And Dr. Fauci confirmed to me last month that another wave of coronavirus is “inevitable.” @VP Pence shouldn’t be celebrating – he should be making a plan.,2020-06-17
230,Elizabeth Warren,SenWarren,Democrat,I’m about to ask Dr. Fauci why the number of COVID-19 infections &amp; deaths in the United States is not improving three months into this pandemic. Watch now. ,2020-05-12
231,Elizabeth Warren,SenWarren,Democrat,"Dr. Fauci told me today that America must do better on testing, contact tracing, and social distancing to help stop another wave of coronavirus this fall and winter. President Trump needs more than tweets to stop this pandemic – he needs a plan. ",2020-05-13
232,Elizabeth Warren,SenWarren,Democrat,"Dr. Fauci told me the US could see 100,000 new cases of COVID-19 per day if we don’t shift course. But rather than ramping up testing &amp; contact tracing, securing our supply chain, &amp; sending clear guidance to Americans, @VP Pence &amp; the Trump admin declared victory over the virus.",2020-07-01
233,Elizabeth Warren,SenWarren,Democrat,Dr. Fauci &amp; other top federal public health experts are back testifying before the Senate this morning to update us on the COVID-19 response. Watch live here. ,2020-06-30
234,Elizabeth Warren,SenWarren,Democrat,Watch live as Dr. Anthony Fauci &amp; other top federal public health experts testify in the Senate HELP Committee about the COVID-19 response. https://twitter.com/i/broadcasts/1lDGLgLYAqRKm,2020-05-12
235,Elizabeth Warren,SenWarren,Democrat,"When Dr. Fauci testified in mid-May, he told me that the US had not contained COVID-19, but he thought that we were going in ""the right direction."" I’m about to ask Dr. Fauci if he still thinks that's the case. Tune in live now. ",2020-06-30
236,Elizabeth Warren,SenWarren,Democrat,"COVID-19 is surging and Dr. Fauci gave a catastrophic warning to me yesterday. Either @VP Pence doesn’t have the slightest comprehension of the outbreak, or he is deliberating trying to mislead the American people. He owes the American people answers.",2020-07-01
237,Elizabeth Warren,SenWarren,Democrat,"Dr. Fauci confirmed to me today: our country does not have coronavirus under control. President Trump needs to stop pretending that if he just ignores that bad news, it will go away. It won’t. The time for magical thinking is over. ",2020-05-12
238,Daniel T. Kildee,RepDanKildee,Democrat,"As we continue to address the coronavirus pandemic, we should listen to the scientists, doctors and public health officials like Dr. Fauci. We should be guided by science, not politics. #SenateHearing",2020-05-12
239,Richard Hudson,RepRichHudson,Republican,"NOW: Being briefed on latest #CoronavirusOutbreak developments by @VP Mike Pence, Dr. Anthony Fauci and others. ",2020-03-04
240,Kevin Cramer,SenKevinCramer,Republican,".@BarackObama’s criticism is nothing more than election-year politicking. @realDonaldTrump is doing an excellent job handling #COVID19, listening to the experts like Drs. Fauci and Birx while political opponents like @JoeBiden grumble from the sidelines.",2020-05-12
